Case #,Report Type,UCR Classification,Common Name,Address,Disposition,Occur from,Occur to,Rpt Date
16-000398,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N1 PARKING LOT,4303  MEMORIAL WAY NE,CLOSED,2/27/2016 03:00PM,2/27/2016 04:30PM,2/27/2016
16-000384,ASSAULT - SIMPLE,SIMPLE ASSAULT,NORDHEIM COURT,5000  25TH AVE NE,ARREST,2/25/2016 08:00PM,2/25/2016 09:16PM,2/26/2016
16-000389,THEFT - BICYCLE,LARCENY - OTHER,CLARK HALL,2103 NE SKAGIT LN,CLOSED,2/26/2016 05:00AM,2/26/2016 01:30PM,2/26/2016
16-000392,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,2/26/2016 05:19PM,2/26/2016 10:10PM,2/26/2016
16-000375,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N28 PARKING LOT,4547  15TH AVE NE,CLOSED,2/25/2016 07:00AM,2/25/2016 10:45AM,2/25/2016
16-000378,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,2/25/2016 12:00PM,2/25/2016 12:15PM,2/25/2016
16-000380,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,CENTRAL PARKING GARAGE,4100  15TH AVE NE,CLOSED,2/25/2016 08:15AM,2/25/2016 03:30PM,2/25/2016
16-000383,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,2/25/2016 07:15PM,2/25/2016 09:40PM,2/25/2016
16-000367,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,BLAKELEY VILLAGE,4747  30TH AVE NE,CLOSED,2/23/2016 06:30PM,2/24/2016 07:30AM,2/24/2016
16-000365,THEFT - BICYCLE,LARCENY - OTHER,PACCAR HALL,4277  EAST STEVENS WAY NE,CLOSED,2/23/2016 12:01PM,2/23/2016 03:15PM,2/23/2016
16-000352,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MAPLE HALL,1101 NE CAMPUS PKY,CLOSED,2/20/2016 01:00PM,2/20/2016 08:00PM,2/22/2016
16-000353,THEFT - OTHER,LARCENY - OTHER,OLD QUAD,4150  KING LN NE,CLOSED,2/21/2016 02:27PM,2/22/2016 02:27PM,2/22/2016
16-000354,THEFT - BICYCLE,LARCENY - OTHER,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,2/19/2016 08:00AM,2/21/2016 09:00AM,2/22/2016
16-000351,THEFT - BICYCLE,LARCENY - OTHER,MARY GATES HALL,1851 NE GRANT LN,CLOSED,2/21/2016 11:30AM,2/21/2016 07:00PM,2/21/2016
16-000327,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,2/17/2016 10:47PM,2/18/2016 01:00AM,2/18/2016
16-000320,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,2/17/2016 06:00PM,2/17/2016 07:20PM,2/17/2016
16-000320,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,2/17/2016 06:00PM,2/17/2016 07:20PM,2/17/2016
16-000321,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,2/17/2016 06:00PM,2/17/2016 07:20PM,2/17/2016
16-000321,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,2/17/2016 06:00PM,2/17/2016 07:20PM,2/17/2016
16-000323,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,2/17/2016 08:00PM,2/17/2016 10:00PM,2/17/2016
16-000324,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,OPEN,2/17/2016 08:20PM,2/17/2016 09:50PM,2/17/2016
16-000324,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E18 PARKING LOT,2500 NE WAHKIAKUM LN,OPEN,2/17/2016 08:20PM,2/17/2016 09:50PM,2/17/2016
16-000326,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,2/17/2016 07:30PM,2/17/2016 10:45PM,2/17/2016
16-000300,THEFT - BICYCLE,LARCENY - OTHER,HAGGETT HALL,4290  WHITMAN CT NE,CLOSED,2/16/2016 12:30AM,2/16/2016 12:36AM,2/16/2016
16-000302,THEFT - OTHER,LARCENY - OTHER,OLD QUAD,4150  KING LN NE,CLOSED,2/16/2016 07:51AM,2/16/2016 07:52AM,2/16/2016
16-000308,THEFT - BICYCLE,LARCENY - FROM BUILDING,MCMAHON HALL,4200  WHITMAN CT NE,CLOSED,2/12/2016 06:00PM,2/16/2016 02:00PM,2/16/2016
16-000297,VEHICLE THEFT,MOTOR VEHICLE THEFT,LAUREL VILLAGE,4200  MARY GATES MEMORIAL DR NE,CLOSED-UNFOUNDED,2/14/2016 09:30PM,2/15/2016 01:30PM,2/15/2016
16-000298,THEFT - BICYCLE,LARCENY - OTHER,HANSEE HALL,2011 NE 45TH ST,CLOSED,2/12/2016 04:45PM,2/15/2016 03:00PM,2/15/2016
16-000296,ASSAULT - SIMPLE,SIMPLE ASSAULT,N1 PARKING LOT,0 NE UNIVERSITY WAY,CLOSED,2/14/2016 12:45PM,2/14/2016 12:50PM,2/14/2016
16-000290,THEFT - OTHER,LARCENY - OTHER,MEDICINAL HERB GARDEN,3734  WEST STEVENS WAY NE,CLOSED,2/13/2016 04:18AM,2/13/2016 04:25AM,2/13/2016
16-000283,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,BAGLEY HALL,3900  OKANOGAN LN NE,CLOSED,2/10/2016 05:40PM,2/11/2016 07:11PM,2/12/2016
16-000283,THEFT - FROM BUILDING,FRAUD-CREDIT CARD/ATM,BAGLEY HALL,3900  OKANOGAN LN NE,CLOSED,2/10/2016 05:40PM,2/11/2016 07:11PM,2/12/2016
16-000267,THEFT - BICYCLE,LARCENY - OTHER,TERRY HALL-RESIDENTIAL,1035 NE CAMPUS PKY,CLOSED,2/9/2016 09:00PM,2/10/2016 09:00AM,2/11/2016
16-000271,THEFT - BICYCLE,LARCENY - OTHER,BAGLEY HALL,3900  OKANOGAN LN NE,CLOSED,2/10/2016 11:30AM,2/10/2016 12:30PM,2/11/2016
16-000274,THEFT - BICYCLE,LARCENY - OTHER,C10 PARKING LOT,3790 W STEVENS WAY NE,CLOSED,2/11/2016 01:30PM,2/11/2016 01:40PM,2/11/2016
16-000258,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,BLAKELEY VILLAGE,4747  30TH AVE NE,CLOSED,2/7/2016 12:00PM,2/10/2016 06:30AM,2/10/2016
16-000238,THEFT - OTHER,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,2/8/2016 09:07AM,2/8/2016 09:08AM,2/8/2016
16-000239,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,PHYSICS/ASTRONOMY BLDG,3900  15TH AVE NE,CLOSED,2/4/2016 10:30AM,2/4/2016 11:20AM,2/8/2016
16-000240,THEFT - BICYCLE,LARCENY - OTHER,HAGGETT HALL,4290  WHITMAN CT NE,CLOSED,2/5/2016 09:45PM,2/8/2016 10:00AM,2/8/2016
16-000242,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,2/8/2016 03:00PM,2/8/2016 03:02PM,2/8/2016
16-000247,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,2/8/2016 07:50PM,2/8/2016 10:00PM,2/8/2016
16-000246,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,2/8/2016 09:00AM,2/8/2016 10:00PM,2/8/2016
16-000249,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,2/8/2016 08:30PM,2/8/2016 10:40PM,2/8/2016
16-000249,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,2/8/2016 08:30PM,2/8/2016 10:40PM,2/8/2016
16-000248,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,2/8/2016 08:30PM,2/8/2016 10:30PM,2/8/2016
16-000231,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E1 PARKING LOT,4239  WALLA WALLA RD NE,CLOSED,2/5/2016 08:30AM,2/6/2016 08:30PM,2/7/2016
16-000236,THEFT - BICYCLE,LARCENY - OTHER,EAST OF CSE BLDG,0  EAST STEVENS WAY NE,CLOSED,2/7/2016 06:30PM,2/7/2016 10:30PM,2/7/2016
16-000224,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,GOULD HALL,3950  UNIVERSITY WAY NE,CLOSED-UNFOUNDED,2/4/2016 06:30PM,2/4/2016 07:30PM,2/6/2016
16-000226,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,2/6/2016 08:00PM,2/6/2016 08:10PM,2/6/2016
16-000227,THEFT - BICYCLE PARTS,LARCENY - OTHER,STEVENS CT APT EAST ABCDH,3801  BROOKLYN AVE NE,CLOSED,2/5/2016 05:30PM,2/6/2016 03:40PM,2/6/2016
16-000210,THEFT - BICYCLE,LARCENY - OTHER,UW TOWER,4333  BROOKLYN AVE NE,OPEN,2/3/2016 09:00AM,2/3/2016 05:00PM,2/3/2016
16-000196,ASSAULT - OTHER DANGEROUS WEAPON,AGGRAVATED ASSAULT,,0  5000 BLK,ARREST,2/2/2016 10:00AM,2/2/2016 10:18AM,2/2/2016
16-000197,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,KINCAID HALL,3751  WEST STEVENS WAY NE,CLOSED,1/27/2016 05:00PM,1/28/2016 09:00AM,2/2/2016
16-000198,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,SMITH HALL,1911 NE SKAGIT LN,CLOSED,2/1/2016 03:00PM,2/2/2016 08:00AM,2/2/2016
16-000199,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W23 PARKING GARAGE,1112 NE 41ST ST,CLOSED,1/29/2016 03:30PM,2/2/2016 03:00PM,2/2/2016
16-000200,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,2/2/2016 03:10PM,2/2/2016 03:15PM,2/2/2016
16-000185,THEFT - BICYCLE,LARCENY - OTHER,COMMUNICATIONS BLDG,4109  EAST STEVENS WAY NE,CLOSED,2/1/2016 05:45AM,2/1/2016 12:30PM,2/1/2016
16-000189,THEFT - FROM BUILDING,TRESPASS OF REAL PROPERTY,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,2/1/2016 03:18PM,2/1/2016 03:30PM,2/1/2016
16-000189,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,2/1/2016 03:18PM,2/1/2016 03:30PM,2/1/2016
16-000190,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,2/1/2016 02:30PM,2/1/2016 03:20PM,2/1/2016
16-000179,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,1/30/2016 12:20PM,1/30/2016 12:30PM,1/30/2016
16-000178,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,1/29/2016 09:00AM,1/29/2016 01:00PM,1/29/2016
16-000169,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,C10 PARKING LOT,3709  WEST STEVENS WAY NE,CLOSED,1/25/2016 09:00PM,1/26/2016 03:00AM,1/28/2016
16-000170,THEFT - OTHER,LARCENY - OTHER,,1701 NE GRANT LN,OPEN,1/25/2016 02:17PM,1/27/2016 12:59AM,1/28/2016
16-000165,THEFT - BICYCLE,LARCENY - OTHER,JOHNSON HALL,1707 NE GRANT LN,CLOSED,1/25/2016 06:00PM,1/27/2016 04:30PM,1/27/2016
16-000159,THEFT - BICYCLE,LARCENY - OTHER,MOLECULAR ENGINEERING BLDG,3946  WEST STEVENS WAY NE,CLOSED,12/20/2015 12:00PM,1/10/2016 12:00PM,1/26/2016
16-000150,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,PLANT SERVICES,4525  25TH AVE NE,CLOSED,1/11/2016 07:00AM,1/25/2016 05:00AM,1/25/2016
16-000152,THEFT - OTHER,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,1/25/2016 07:52AM,1/25/2016 07:53AM,1/25/2016
16-000155,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,1/25/2016 07:00PM,1/25/2016 09:30PM,1/25/2016
16-000143,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,PADELFORD PARKING GARAGE,4112  MASON RD NE,CLOSED,1/23/2016 09:50PM,1/23/2016 10:14PM,1/23/2016
16-000129,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MEANY HALL,4040  GEORGE WASHINGTON LN NE,CLOSED-UNFOUNDED,1/21/2016 08:00PM,1/22/2016 09:00AM,1/22/2016
16-000134,THEFT - BICYCLE,LARCENY - OTHER,HANSEE HALL,2011 NE 45TH ST,CLOSED,1/21/2016 11:00PM,1/22/2016 04:00PM,1/22/2016
16-000135,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,UW TRANSPORTATION CENTER,3745  15TH AVE NE,CLOSED,1/22/2016 04:30PM,1/22/2016 04:45PM,1/22/2016
16-000136,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W23 PARKING GARAGE,1112 NE 41ST ST,CLOSED,1/22/2016 08:30AM,1/22/2016 05:10PM,1/22/2016
16-000137,THEFT - FROM BUILDING,FRAUD-CREDIT CARD/ATM,ODEGAARD UNDERGRADUATE LIBRARY,4060 NE GEORGE WASHINGTON LN,CLOSED,1/22/2016 06:09PM,1/22/2016 07:00PM,1/22/2016
16-000137,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060 NE GEORGE WASHINGTON LN,CLOSED,1/22/2016 06:09PM,1/22/2016 07:00PM,1/22/2016
16-000139,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,1/22/2016 07:15PM,1/22/2016 08:30PM,1/22/2016
16-000115,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060 NE GEORGE WASHINGTON LN NE,CLOSED,1/20/2016 11:30PM,1/20/2016 11:52PM,1/21/2016
16-000120,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E16 PARKING LOT,3603 NE 41ST ST,CLOSED,1/21/2016 09:00AM,1/21/2016 12:40PM,1/21/2016
16-000119,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E16 PARKING LOT,3603 NE 41ST ST,CLOSED,1/21/2016 09:05AM,1/21/2016 11:50AM,1/21/2016
16-000121,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,1/21/2016 02:02PM,1/21/2016 02:04PM,1/21/2016
16-000110,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,STEVENS CT APT WEST JKLM,1112 NE PACIFIC ST,CLOSED,1/5/2016 08:58AM,1/19/2016 12:55AM,1/20/2016
16-000099,THEFT - OTHER,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,1/19/2016 08:55AM,1/19/2016 10:37AM,1/19/2016
16-000103,THEFT - FROM BUILDING,LARCENY - OTHER,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,1/19/2016 09:00AM,1/19/2016 02:00PM,1/19/2016
16-000104,ASSAULT - SIMPLE,SIMPLE ASSAULT,BY GEORGE,4056  GEORGE WASHINGTON LN NE,ARREST,1/19/2016 01:55PM,1/19/2016 02:45PM,1/19/2016
16-000105,THEFT - OTHER,LARCENY - OTHER,OLD QUAD,4150  KING LN NE,CLOSED,1/15/2016 08:00AM,1/19/2016 08:00AM,1/19/2016
16-000090,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N28 PARKING LOT,4547  15TH AVE NE,CLOSED,1/14/2016 04:30PM,1/18/2016 09:30AM,1/18/2016
16-000091,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N5 PARKING LOT,4350  EAST STEVENS WAY NE,CLOSED,1/16/2016 12:00PM,1/18/2016 11:30AM,1/18/2016
16-000078,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,CITY PEOPLE PARKING LOT,5440  SAND POINT WAY NE,ARREST,1/14/2016 06:15PM,1/14/2016 08:00PM,1/15/2016
16-000078,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,CITY PEOPLE PARKING LOT,5440  SAND POINT WAY NE,ARREST,1/14/2016 06:15PM,1/14/2016 08:00PM,1/15/2016
16-000079,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W20 PARKING GARAGE,1128 NE 41ST ST,CLOSED,1/13/2016 10:00AM,1/15/2016 03:00PM,1/15/2016
16-000066,THEFT - FROM BUILDING,LARCENY - OTHER,MARY GATES HALL,1851 NE GRANT LN,CLOSED,1/13/2016 02:30PM,1/13/2016 05:30PM,1/14/2016
16-000075,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,ARREST,1/14/2016 08:00PM,1/14/2016 10:00PM,1/14/2016
16-000073,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,NORTHWEST HORTICULTURAL SOC,3501 NE 41ST ST,ARREST,1/14/2016 08:34PM,1/14/2016 11:57PM,1/14/2016
16-000073,THEFT - CAR PROWL,COUNTERFEIT/FORGERY,NORTHWEST HORTICULTURAL SOC,3501 NE 41ST ST,ARREST,1/14/2016 08:34PM,1/14/2016 11:57PM,1/14/2016
16-000073,THEFT - CAR PROWL,DRUG/NARCOTIC VIOLATIONS,NORTHWEST HORTICULTURAL SOC,3501 NE 41ST ST,ARREST,1/14/2016 08:34PM,1/14/2016 11:57PM,1/14/2016
16-000073,THEFT - CAR PROWL,DRUG EQUIPMENT VIOLATIONS,NORTHWEST HORTICULTURAL SOC,3501 NE 41ST ST,ARREST,1/14/2016 08:34PM,1/14/2016 11:57PM,1/14/2016
16-000028,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,12/30/2015 12:00PM,12/31/2015 08:00AM,1/13/2016
16-000064,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,1/13/2016 11:29AM,1/13/2016 11:30AM,1/13/2016
16-000064,THEFT - FROM BUILDING,TRESPASS OF REAL PROPERTY,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,1/13/2016 11:29AM,1/13/2016 11:30AM,1/13/2016
16-000049,THEFT - OTHER,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,1/8/2016 05:00PM,1/11/2016 08:00AM,1/11/2016
16-000052,VEHICLE THEFT,MOTOR VEHICLE THEFT,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,1/11/2016 09:54AM,1/11/2016 10:01AM,1/11/2016
16-000051,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E16 PARKING LOT,3501 NE 41ST ST,CLOSED,1/11/2016 10:00AM,1/11/2016 10:15AM,1/11/2016
16-000055,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E16 PARKING LOT,3501 NE 41ST ST,CLOSED,1/11/2016 10:00AM,1/11/2016 10:15AM,1/11/2016
16-000056,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,KNARR SHIPWRECK LOUNGE,5633  UNIVERSITY WAY NE,CLOSED,1/7/2016 06:00PM,1/8/2016 12:30AM,1/11/2016
16-000057,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED-UNFOUNDED,12/18/2015 08:00AM,1/11/2016 09:00AM,1/11/2016
16-000047,ASSAULT - SIMPLE,SIMPLE ASSAULT,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,1/10/2016 11:05AM,1/10/2016 11:10AM,1/10/2016
16-000047,ASSAULT - SIMPLE,LARCENY - FROM BUILDING,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,1/10/2016 11:05AM,1/10/2016 11:10AM,1/10/2016
16-000039,THEFT - OTHER,LARCENY - OTHER,WATERFRONT ACTIVITIES CENTER,3701  WALLA WALLA RD NE,CLOSED,12/16/2015 04:00PM,1/8/2016 11:42AM,1/8/2016
16-000006,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E98 PARKING LOT IMA METERS,3870  MONTLAKE BLVD NE,CLOSED,1/2/2016 12:20PM,1/2/2016 01:45PM,1/7/2016
16-000032,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,CENTRAL PARKING GARAGE,4100  15TH AVE NE,CLOSED,1/7/2016 04:40PM,1/7/2016 04:54PM,1/7/2016
16-000033,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,1/7/2016 10:00AM,1/7/2016 08:30PM,1/7/2016
16-000034,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,1/7/2016 07:00PM,1/7/2016 09:20PM,1/7/2016
16-000037,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,1/7/2016 08:30PM,1/7/2016 10:00PM,1/7/2016
16-000036,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E18 PARKING LOT,2500 NE WAHKIAKUM LN,OPEN,1/7/2016 07:45PM,1/7/2016 10:00PM,1/7/2016
16-000036,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,OPEN,1/7/2016 07:45PM,1/7/2016 10:00PM,1/7/2016
16-000035,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,1/7/2016 08:05PM,1/7/2016 10:05PM,1/7/2016
16-000035,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,1/7/2016 08:05PM,1/7/2016 10:05PM,1/7/2016
16-000017,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,BLAKELEY VILLAGE,4747  30TH AVE NE,CLOSED,12/31/2015 10:00PM,1/1/2016 06:00AM,1/5/2016
16-000016,THEFT - OTHER,LARCENY - OTHER,BLAKELEY VILLAGE,4747  30TH AVE NE,CLOSED,12/24/2015 04:00PM,12/24/2015 05:00PM,1/5/2016
16-000018,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,1/4/2016 05:00PM,1/4/2016 05:50PM,1/5/2016
16-000018,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,1/4/2016 05:00PM,1/4/2016 05:50PM,1/5/2016
16-000010,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W33 PARKING GARAGE,1112 NE PACIFIC ST,CLOSED,1/3/2016 08:00PM,1/4/2016 04:08PM,1/4/2016
16-000012,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAMKUM LN,CLOSED,1/4/2016 05:00PM,1/4/2016 06:00PM,1/4/2016
16-000013,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,1/4/2016 05:30PM,1/4/2016 06:30PM,1/4/2016
16-000011,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,1/4/2016 04:35PM,1/4/2016 06:30PM,1/4/2016
16-000014,THEFT - FROM BUILDING,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,1/4/2016 07:30PM,1/4/2016 07:45PM,1/4/2016
16-000014,THEFT - FROM BUILDING,FRAUD-CREDIT CARD/ATM,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,1/4/2016 07:30PM,1/4/2016 07:45PM,1/4/2016
16-000004,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,SURGERY PAVILION,2159 NE PACIFIC ST,CLOSED,1/1/2016 10:00AM,1/2/2016 01:15PM,1/2/2016
16-000008,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N5 PARKING LOT,4350  EAST STEVENS WAY NE,CLOSED,1/2/2016 08:10PM,1/2/2016 08:20PM,1/2/2016
16-000008,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,N5 PARKING LOT,4350  EAST STEVENS WAY NE,CLOSED,1/2/2016 08:10PM,1/2/2016 08:20PM,1/2/2016
15-002515,VEHICLE THEFT,MOTOR VEHICLE THEFT,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,12/26/2015 01:00AM,12/26/2015 01:15AM,12/31/2015
15-002509,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W29 PARKING LOT,3801  BROOKLYN AVE NE,CLOSED,12/30/2015 06:30AM,12/30/2015 03:55PM,12/30/2015
15-002512,VEHICLE THEFT,MOTOR VEHICLE THEFT,E12 PARKING LOT,3750  MONTLAKE BLVD NE,CLOSED,12/30/2015 06:00AM,12/30/2015 02:30PM,12/30/2015
15-002498,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,12/28/2015 06:15PM,12/28/2015 06:25PM,12/28/2015
